image_id,model,timestamp,conclusion_index,conclusion_text,num_premises,premise_count_used,agg_entailment,agg_neutral,agg_contradiction,agg_predicted_label,nli_confidence,max_entailment,max_contradiction,support_ratio,contradiction_ratio,premise_0_contradiction,premise_0_entailment,premise_0_label,premise_0_neutral,premise_1_contradiction,premise_1_entailment,premise_1_label,premise_1_neutral,premise_2_contradiction,premise_2_entailment,premise_2_label,premise_2_neutral,premise_3_contradiction,premise_3_entailment,premise_3_label,premise_3_neutral,premise_4_contradiction,premise_4_entailment,premise_4_label,premise_4_neutral,premise_count_used
0,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:11:53.996242,0,"The Great Barrier Reef has undergone significant degradation, evidenced by widespread coral bleaching and loss of fish biodiversity, between 2009 and 2019.",3,3,0.016545558445310842,0.6264014517267545,0.3570529777401437,contradiction,-0.34050741929483286,0.048880111426115036,0.9839422106742859,0.0,0.3333333333333333,0.9839422106742859,0.00011197582352906466,contradiction,0.015945754945278168,0.0007225822191685438,0.048880111426115036,neutral,0.9503973126411438,0.08649414032697678,0.0006445880862884223,neutral,0.9128612875938416,,,,,,,,,3
0,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:11:53.996242,1,"The visual change from a healthy, colorful reef to a bleached, sparsely populated reef indicates a decline in reef health over the decade.",3,3,0.0035525391382786133,0.9357201258341471,0.06072729426280906,neutral,-0.05717475512453045,0.009815618395805359,0.17570440471172333,0.0,0.0,0.17570440471172333,0.000672774447593838,neutral,0.8236227631568909,0.0005487642483785748,0.009815618395805359,neutral,0.9896355271339417,0.005928713828325272,0.0001692245714366436,neutral,0.9939020872116089,,,,,,,,,3
1,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:11:59.402336,0,"The area has likely experienced prolonged drought or severe water scarcity, leading to the desiccation of soil and organic matter.",3,3,0.007733168623720606,0.9919291138648987,0.0003376936074346304,neutral,0.0073954750162859755,0.01750841736793518,0.000383610837161541,0.0,0.0,0.0003107089432887733,0.0028432749677449465,neutral,0.9968459010124207,0.0003187610418535769,0.0028478135354816914,neutral,0.9968335032463074,0.000383610837161541,0.01750841736793518,neutral,0.982107937335968,,,,,,,,,3
1,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:11:59.402336,1,The presence of dried remains suggests a disrupted ecosystem due to environmental degradation linked to climate conditions.,3,3,0.008102108763220409,0.9907514254252116,0.0011464281706139445,neutral,0.0069556805926064644,0.020464902743697166,0.0022708976175636053,0.0,0.0,0.0005875825299881399,0.002843201160430908,neutral,0.9965691566467285,0.0005808043642900884,0.000998222385533154,neutral,0.9984209537506104,0.0022708976175636053,0.020464902743697166,neutral,0.9772641658782959,,,,,,,,,3
10,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:12:04.115002,0,"Human-generated waste is present in the polar bear's immediate environment and potentially in their food sources, indicating pollution affecting their ecosystem.",2,2,0.011568465502932668,0.9875417351722717,0.0008897599764168262,neutral,0.010678705526515841,0.017749805003404617,0.0012862046714872122,0.0,0.0,0.0012862046714872122,0.017749805003404617,neutral,0.980963945388794,0.0004933152813464403,0.005387126002460718,neutral,0.9941195249557495,,,,,,,,,,,,,2
10,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:12:04.115002,1,The malnourished state of the bear and limited food (half a fish) suggest that environmental degradation may contribute to food scarcity or health challenges for polar bears.,2,2,0.003083805844653398,0.9917023777961731,0.005213819851633161,neutral,-0.0021300140069797635,0.0058145420625805855,0.009151401929557323,0.0,0.0,0.009151401929557323,0.0058145420625805855,neutral,0.9850340485572815,0.0012762377737089992,0.0003530696267262101,neutral,0.9983707070350647,,,,,,,,,,,,,2
11,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:12:10.134537,0,The fragmented ice and isolated floe imply a reduction in the total area of Arctic sea ice.,3,3,0.002076841793799152,0.9968826174736023,0.001040550705511123,neutral,0.0010362910882880292,0.0037815840914845467,0.0011443666880950332,0.0,0.0,0.0010099492501467466,0.0037815840914845467,neutral,0.9952084422111511,0.0011443666880950332,0.0015414138324558735,neutral,0.9973142743110657,0.000967336178291589,0.0009075274574570358,neutral,0.9981251358985901,,,,,,,,,3
11,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:12:10.134537,1,"The bear's current habitat is limited to a small, unstable ice platform, which may affect its survival due to habitat loss.",3,3,0.002712397874953846,0.9949758847554525,0.002311710666011398,neutral,0.0004006872089424478,0.0035976613871753216,0.005633126944303513,0.0,0.0,0.0003549114044290036,0.0035976613871753216,neutral,0.9960474371910095,0.005633126944303513,0.001002929056994617,neutral,0.9933639764785767,0.0009470936493016779,0.0035366031806916,neutral,0.9955162405967712,,,,,,,,,3
12,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:12:15.896901,0,The presence of water around the ice floe suggests that the ice is melting or breaking apart.,3,3,0.15446165502847484,0.8389493227005005,0.006589061561195801,neutral,0.14787259346727905,0.2867090404033661,0.016288558021187782,0.0,0.0,0.0008181277080439031,0.0012871414655819535,neutral,0.997894823551178,0.0026604989543557167,0.2867090404033661,neutral,0.710630476474762,0.016288558021187782,0.17538878321647644,neutral,0.8083226680755615,,,,,,,,,3
12,nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free,2026-05-20T15:12:15.896901,1,"The bear’s scarf implies human concern or intervention, supporting the message to save animals facing extinction.",3,3,0.005340984692641844,0.96198836962382,0.03267065614151458,neutral,-0.027329671448872734,0.014549706131219864,0.09117943048477173,0.0,0.0,0.003556137206032872,0.00029913237085565925,neutral,0.9961447715759277,0.09117943048477173,0.014549706131219864,neutral,0.8942707777023315,0.0032764007337391376,0.00117411557585001,neutral,0.9955495595932007,,,,,,,,,3
