id,url,label_animals,label_setting,label_consequences,label_climateaction,label_type
0,https://pbs.twimg.com/media/EDati--XUAAwL-N.jpg,Fish,Industrial,n/a,n/a,n/a
1,https://pbs.twimg.com/media/EDZP9MRUcAIC8az.jpg,Amphibian or Reptile,Other nature,n/a,n/a,n/a
2,https://pbs.twimg.com/media/EDZN-VHXYAAOK74.jpg,Fish,n/a,n/a,Politics,n/a
3,https://pbs.twimg.com/media/EDZAYNxXkAAJwub.jpg,Fish,n/a,n/a,n/a,n/a
4,https://pbs.twimg.com/media/EDZAPg9XkAIQAZG.jpg,Other animals,n/a,n/a,n/a,n/a
5,https://pbs.twimg.com/media/EDY0ospUYAA-_kb.jpg,Fish,n/a,n/a,n/a,n/a
6,https://pbs.twimg.com/media/EDYhEe6XYAEwmjl.jpg,Fish,n/a,n/a,n/a,n/a
7,https://pbs.twimg.com/media/EDYSnNgUYAAZxSL.jpg,Other animals,n/a,n/a,n/a,n/a
8,https://pbs.twimg.com/media/EDYQhw_XkAEMHFZ.jpg,Other animals,n/a,n/a,n/a,n/a
9,https://pbs.twimg.com/media/EDX5nKeWkAAO3nn.jpg,Fish,n/a,n/a,Sustainable energy,n/a
10,https://pbs.twimg.com/media/EDX5bqWW4AAX2Ez.jpg,Fish,n/a,n/a,n/a,n/a
11,https://pbs.twimg.com/media/EDWwZk7UEAAUhnc.jpg,Fish,Agricultural/rural,Other consequences,n/a,n/a
12,https://pbs.twimg.com/media/EDWwIZUXUAAt0DB.jpg,Other animals,Other nature,n/a,n/a,n/a
13,https://pbs.twimg.com/media/EDWUn6mUYAAXysW.jpg,Fish,Desert,n/a,Sustainable energy,n/a
14,https://pbs.twimg.com/media/EDWJRvVU0AMZJJf.jpg,Other animals,n/a,n/a,n/a,n/a
15,https://pbs.twimg.com/media/EDWB0boUUAEa3mR.jpg,Other animals,Other nature,n/a,n/a,n/a
16,https://pbs.twimg.com/media/EDV4x0MVAAAV-bj.jpg,Other animals,n/a,n/a,n/a,n/a
17,https://pbs.twimg.com/media/EDfebGKXkAEmFQ_.jpg,Fish,Industrial,n/a,n/a,n/a
18,https://pbs.twimg.com/media/EDfOkSSVUAAODxD.jpg,Fish,n/a,n/a,n/a,n/a
19,https://pbs.twimg.com/media/EDeslKmWwAUmzmw.jpg,Fish,"Ocean, coastal",n/a,n/a,n/a
20,https://pbs.twimg.com/media/EDPz2QzX4AAqKAy.png,Fish,n/a,n/a,n/a,n/a
21,https://pbs.twimg.com/media/EDelWGAXkAED8z4.jpg,Birds,n/a,n/a,n/a,n/a
22,https://pbs.twimg.com/media/EDeUAvmWwAAD0uR.jpg,Fish,n/a,n/a,n/a,n/a
23,https://pbs.twimg.com/media/EDeJ1Y4XUAUylrl.jpg,Other animals,n/a,n/a,n/a,n/a
24,https://pbs.twimg.com/media/EDd8QnTXkAEFftG.jpg,Fish,n/a,n/a,n/a,n/a
25,https://pbs.twimg.com/media/EDd6jbKXUAE3xuK.jpg,Birds,n/a,n/a,n/a,n/a
26,https://pbs.twimg.com/media/EDd5vZgXYAAt3FQ.jpg,Amphibian or Reptile,n/a,n/a,n/a,n/a
27,https://pbs.twimg.com/media/EDdueM0W4AE9bJx.jpg,Birds,n/a,n/a,n/a,n/a
28,https://pbs.twimg.com/media/EDdhocnXYAoJKE1.jpg,Fish,n/a,n/a,n/a,n/a
29,https://pbs.twimg.com/media/EDdV8aGWsAEBxTW.jpg,Other animals,"Forest, jungle",n/a,n/a,n/a
30,https://pbs.twimg.com/media/EDdS_VzWwAEloOG.jpg,Other animals,n/a,n/a,n/a,n/a
31,https://pbs.twimg.com/media/EDdFPbdWsAEb-_e.jpg,Birds,n/a,n/a,n/a,n/a
32,https://pbs.twimg.com/media/EDdE2feWkAAqTmu.jpg,Other animals,n/a,n/a,n/a,n/a
33,https://pbs.twimg.com/media/EDcvjMvW4AAi1Xx.jpg,Fish,Other nature,n/a,n/a,n/a
34,https://pbs.twimg.com/media/EDcukmCXYAEX2H0.jpg,Other animals,n/a,n/a,n/a,n/a
35,https://pbs.twimg.com/media/EDciYWSWkAAjMF_.jpg,Fish,n/a,n/a,n/a,n/a
36,https://pbs.twimg.com/media/EDcObn2W4AEDrKA.jpg,Fish,Industrial,n/a,Politics,n/a
37,https://pbs.twimg.com/media/EDcMkGaUUAIV_xt.jpg,Fish,n/a,Biodiversity loss,n/a,n/a
38,https://pbs.twimg.com/media/EDcFIQCXoAAXHRN.jpg,Fish,Other nature,n/a,n/a,n/a
39,https://pbs.twimg.com/media/EDbhwVLWkAAIiJb.jpg,Fish,Other nature,n/a,n/a,n/a
40,https://pbs.twimg.com/media/EDbJzRsVUAE5HL3.jpg,Fish,n/a,Drought,n/a,n/a
41,https://pbs.twimg.com/media/EDku_aeXkAQU7zx.jpg,Other animals,"Forest, jungle",n/a,n/a,n/a
42,https://pbs.twimg.com/media/EDkmeMvWwAA9cgG.jpg,Other animals,n/a,n/a,n/a,n/a
43,https://pbs.twimg.com/media/EDkcZzaWsAMd3zX.jpg,Fish,"Ocean, coastal",n/a,Politics,n/a
44,https://pbs.twimg.com/media/EDkQOa8XYAEqYbX.jpg,Other animals,n/a,n/a,n/a,n/a
45,https://pbs.twimg.com/media/EDj2c6YXkAAtWEe.jpg,Fish,Other nature,n/a,n/a,n/a
46,https://pbs.twimg.com/media/EDjs0xdWwAAIzf9.jpg,Fish,n/a,n/a,n/a,n/a
47,https://pbs.twimg.com/media/EDjeqEzWsAA3C98.jpg,Other animals,Agricultural/rural,n/a,n/a,n/a
48,https://pbs.twimg.com/media/EDjc2uYXkAIj4rV.png,Other animals,n/a,n/a,Sustainable energy,n/a
49,https://pbs.twimg.com/media/EDi2Z7iXUAAzNrq.jpg,Other animals,n/a,n/a,n/a,n/a
50,https://pbs.twimg.com/media/EDirmavXsAUMUwO.png,Fish,n/a,n/a,Sustainable energy,n/a
51,https://pbs.twimg.com/media/EDilwqtUcAIcg_P.jpg,Other animals,n/a,n/a,n/a,n/a
52,https://pbs.twimg.com/media/EDiiwSEWwAA5mmu.jpg,Birds,n/a,n/a,n/a,n/a
53,https://pbs.twimg.com/media/EDiWjEtX4AEtTdf.jpg,Fish,Desert,n/a,n/a,n/a
54,https://pbs.twimg.com/media/EDiVp3kXkAUjHAW.jpg,Birds,n/a,n/a,n/a,n/a
55,https://pbs.twimg.com/media/EDiVo8lXYAAqODT.jpg,Birds,n/a,n/a,n/a,n/a
56,https://pbs.twimg.com/media/EDiTfhWWkAAlEBJ.jpg,Fish,n/a,n/a,n/a,n/a
57,https://pbs.twimg.com/media/EDiAAMDW4AAPiVJ.jpg,Other animals,Agricultural/rural,n/a,n/a,n/a
58,https://pbs.twimg.com/media/EDhkH2sXUAAUnoY.jpg,Fish,Other nature,Covid & general health,n/a,n/a
59,https://pbs.twimg.com/media/EDcjfCNXsAAmKsw.png,Farm animals,Agricultural/rural,n/a,n/a,n/a
60,https://pbs.twimg.com/media/EDgx0FXVUAAiI43.jpg,Fish,Desert,n/a,n/a,n/a
61,https://pbs.twimg.com/media/EDgLtdwUEAA-sn4.jpg,Other animals,n/a,n/a,n/a,n/a
62,https://pbs.twimg.com/media/EDo7ChCWkAA5JJa.jpg,Other animals,Agricultural/rural,n/a,n/a,n/a
63,https://pbs.twimg.com/media/EDp60kAUYAAFDz-.jpg,Fish,n/a,n/a,n/a,n/a
64,https://pbs.twimg.com/media/EDpom_kX4AE9d_x.jpg,Fish,n/a,n/a,Fossil energy,n/a
65,https://pbs.twimg.com/media/EDpdkJbWwAow73Z.jpg,Other animals,Other nature,n/a,n/a,n/a
66,https://pbs.twimg.com/media/EDo69EyXkAAjxFT.jpg,Other animals,Agricultural/rural,n/a,n/a,n/a
67,https://pbs.twimg.com/media/EDo65g_X4AEfUfs.jpg,Other animals,Agricultural/rural,n/a,n/a,n/a
68,https://pbs.twimg.com/media/EDovJvCXsAYTFT7.jpg,Pets,n/a,n/a,n/a,n/a
69,https://pbs.twimg.com/media/EDor5pFXkAAmWf1.jpg,Fish,Residential/commercial,n/a,Politics,n/a
70,https://pbs.twimg.com/media/EDoqv6wWwAIalGo.jpg,Other animals,n/a,n/a,n/a,n/a
71,https://pbs.twimg.com/media/EDogrP6XkAA0oeJ.jpg,Fish,Industrial,n/a,n/a,n/a
72,https://pbs.twimg.com/media/EDoabNVWwAAVwnj.jpg,Other animals,Outer space,n/a,n/a,n/a
73,https://pbs.twimg.com/media/EDoVUf0U0AAyOLf.jpg,Other animals,Other nature,n/a,n/a,n/a
74,https://pbs.twimg.com/media/EDoQ5XOWkAA6h0e.jpg,Fish,Residential/commercial,Other consequences,Politics,n/a
75,https://pbs.twimg.com/media/EDoQg8iXYAExNrk.jpg,Fish,"Ocean, coastal",n/a,Sustainable energy,n/a
76,https://pbs.twimg.com/media/EDoQVo_XsAADH73.jpg,Fish,n/a,Other consequences,n/a,n/a
77,https://pbs.twimg.com/media/EDoPfWdUwAEZ2PK.jpg,Birds,n/a,n/a,n/a,n/a
78,https://pbs.twimg.com/media/EDoGlVUWkAExW5K.jpg,Fish,n/a,n/a,n/a,n/a
79,https://pbs.twimg.com/media/EDoCAxFXoAAbVXe.jpg,Fish,Other nature,n/a,n/a,n/a
80,https://pbs.twimg.com/media/EDn04_ZWsAAAOak.jpg,Fish,n/a,n/a,Sustainable energy,n/a
81,https://pbs.twimg.com/media/EDnYk8xWwAAdmyl.jpg,Other animals,n/a,n/a,n/a,n/a
82,https://pbs.twimg.com/media/EDm-9BRXkAAQZ6V.jpg,Fish,n/a,n/a,n/a,n/a
83,https://pbs.twimg.com/media/EDtSEl5W4AA9TBf.jpg,Other animals,Agricultural/rural,n/a,n/a,n/a
84,https://pbs.twimg.com/media/EDueODeXoAEaUlQ.jpg,Other animals,n/a,n/a,n/a,n/a
